Entry Name,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
CDC20_YEAST,10,2,6
RL5_YEAST,2,2,4
KAD3_YEAST,7,4,4
UGA3_YEAST,4,6,1
BUB2_YEAST,4,0,5
BUB3_YEAST,3,1,5
PPZ1_YEAST,2,3,2
RFA2_YEAST,15,4,4
RFA3_YEAST,15,2,3
RS5_YEAST,6,3,5
RL16A_YEAST,3,3,4
RL16B_YEAST,3,3,4
RS7A_YEAST,4,1,6
FEN1_YEAST,5,4,6
AP2B_YEAST,3,1,3
KCC1_YEAST,3,5,1
GYS2_YEAST,1,3,3
NSR1_YEAST,5,5,5
PHO91_YEAST,5,2,3
URK1_YEAST,4,3,2
CBPS_YEAST,1,3,4
PUR7_YEAST,2,2,2
CDC15_YEAST,6,5,4
BUD14_YEAST,13,1,9
TIP1_YEAST,1,2,5
COQ3_YEAST,2,2,3
SPT5_YEAST,12,14,5
COQ8_YEAST,3,5,3
MIG1_YEAST,5,4,3
THIK_YEAST,2,2,3
PEP3_YEAST,11,2,6
KRE2_YEAST,5,1,4
KTR1_YEAST,4,1,4
CALX_YEAST,2,3,2
ERV1_YEAST,3,3,2
CIN8_YEAST,11,5,7
RPB9_YEAST,6,3,3
RPAC2_YEAST,10,3,4
PRP45_YEAST,1,0,4
POP5_YEAST,6,4,3
GAR1_YEAST,2,1,2
ACEA_YEAST,2,3,3
IDH2_YEAST,3,4,3
UBC8_YEAST,4,3,2
PYRD_YEAST,2,2,1
OPLA_YEAST,1,2,2
URA7_YEAST,5,3,3
CWP1_YEAST,2,1,6
YJU2_YEAST,3,2,3
MGLL_YEAST,2,3,8
CAPZA_YEAST,2,1,10
LAC1_YEAST,1,1,4
RAD14_YEAST,5,2,2
IMP1_YEAST,2,2,3
SBA1_YEAST,3,2,3
PRR1_YEAST,4,5,2
MSP1_YEAST,3,3,3
KIP1_YEAST,9,4,5
KIP2_YEAST,5,7,6
AROC_YEAST,3,5,2
SEC20_YEAST,3,1,5
PEX3_YEAST,3,1,3
HIBCH_YEAST,2,2,3
IDH1_YEAST,3,4,6
CHIT_YEAST,4,3,6
TF2B_YEAST,4,5,2
TF3B_YEAST,5,7,4
HRR25_YEAST,16,7,14
BMH1_YEAST,14,4,4
UBCX_YEAST,6,3,2
BEM1_YEAST,6,3,10
RL8B_YEAST,2,2,2
PTP2_YEAST,7,1,2
CHS3_YEAST,3,1,11
PAP_YEAST,3,4,2
MCM2_YEAST,8,6,9
MCM5_YEAST,10,5,10
TRXB1_YEAST,3,2,3
RIF1_YEAST,9,4,3
EF1G1_YEAST,3,6,5
FNTA_YEAST,2,3,3
ERG9_YEAST,3,2,5
MPI_YEAST,4,2,3
CGS5_YEAST,11,1,4
ITR1_YEAST,4,2,5
SEC1_YEAST,5,2,4
PSO2_YEAST,3,4,2
LCF1_YEAST,4,3,5
PSB5_YEAST,3,2,5
PSB7_YEAST,3,0,5
MCM4_YEAST,8,6,10
RENT1_YEAST,10,9,1
RF1M_YEAST,3,1,1
XPO1_YEAST,8,8,5
ATP7_YEAST,1,1,3
MLS1_YEAST,2,1,4
SNC1_YEAST,13,4,12
ZIP1_YEAST,8,1,4
PUS3_YEAST,2,3,2
DHOM_YEAST,4,3,2
RAD16_YEAST,6,6,3
CYS3_YEAST,4,5,2
PSK1_YEAST,5,5,3
SWC3_YEAST,3,1,4
STX8_YEAST,6,2,6
NTH1_YEAST,6,5,2
FUN30_YEAST,8,8,5
PMT2_YEAST,6,1,4
2AAA_YEAST,2,1,8
CCR4_YEAST,8,4,6
DEP1_YEAST,14,1,5
ATS1_YEAST,4,1,1
VATC_YEAST,4,2,5
HS104_YEAST,9,6,5
TPS2_YEAST,6,2,2
OCH1_YEAST,1,2,3
COPG_YEAST,5,1,5
CHMU_YEAST,4,3,2
MET22_YEAST,5,2,2
MED16_YEAST,7,1,3
MGM1_YEAST,11,10,9
GLNA_YEAST,1,2,3
ACH1_YEAST,1,2,2
