Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
NB5R4_HUMAN,8,5,4
H4_YEAST,5,4,4
YL020_YEAST,0,0,1
ENVT1_HUMAN,0,0,1
YL287_YEAST,0,0,2
PERL_HUMAN,4,4,5
EF1A3_HUMAN,2,3,4
CLPP_HUMAN,5,6,3
FRG2B_HUMAN,0,0,1
DEUP1_HUMAN,4,1,3
IAPP_HUMAN,16,6,3
EFNMT_HUMAN,1,1,4
CDS2_HUMAN,3,1,4
NR2E1_HUMAN,35,9,2
PLCX2_HUMAN,2,1,1
CCG7_HUMAN,10,3,9
LR37B_HUMAN,0,0,1
ZN611_HUMAN,1,3,1
CYB5B_HUMAN,3,3,5
YJI6_YEAST,0,0,1
FABD_HUMAN,3,2,2
NLE1_YEAST,2,0,1
RAMP2_HUMAN,25,3,7
PRS35_HUMAN,0,0,1
CP39A_HUMAN,5,5,2
HAUS6_HUMAN,5,1,4
