Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
WDFY4_MOUSE,4,0,2
E9Q2T3_MOUSE,7,2,4
CECR2_MOUSE,8,1,4
AKP13_MOUSE,9,4,5
AL3B2_MOUSE,3,3,1
S4A5_MOUSE,8,3,2
E9Q3P4_MOUSE,8,4,13
M3K19_MOUSE,0,22,0
PRD14_MOUSE,19,8,2
RYR2_MOUSE,32,12,8
APOB_MOUSE,28,6,10
E9Q418_MOUSE,12,7,5
ANR11_MOUSE,27,1,2
E9Q4M2_MOUSE,2,5,3
ARI1B_MOUSE,4,1,6
PDE8B_MOUSE,8,2,0
ACACB_MOUSE,23,5,3
RN213_MOUSE,13,10,3
DESP_MOUSE,13,2,10
E9Q5C2_MOUSE,2,19,3
NOLC1_MOUSE,4,3,6
SETD2_MOUSE,34,5,2
KIF23_MOUSE,2,3,8
OOG1_MOUSE,5,0,2
CP2CN_MOUSE,1,4,1
YTDC1_MOUSE,10,2,3
CFA44_MOUSE,7,1,2
NAL12_MOUSE,13,2,1
PTPRO_MOUSE,13,7,7
MYO1E_MOUSE,10,6,7
E9Q696_MOUSE,10,17,4
CC85C_MOUSE,6,0,3
E9Q708_MOUSE,2,17,3
ZC3HD_MOUSE,3,1,4
E9Q7C7_MOUSE,2,19,3
ARHG5_MOUSE,7,2,6
ARID2_MOUSE,21,2,8
E9Q7E8_MOUSE,2,17,3
RN169_MOUSE,4,5,6
NUMA1_MOUSE,19,7,24
E9Q7N9_MOUSE,11,5,9
E9Q7P8_MOUSE,0,13,3
CFA43_MOUSE,13,0,3
E9Q7T0_MOUSE,2,17,3
HEG1_MOUSE,24,1,3
NRX2A_MOUSE,15,5,4
ABCAC_MOUSE,20,5,6
FRY_MOUSE,2,1,3
CC141_MOUSE,3,0,2
SACA6_MOUSE,1,0,3
PRD15_MOUSE,5,4,2
DYH1_MOUSE,5,5,4
GDS1_MOUSE,11,2,5
MCMD2_MOUSE,7,2,0
E9Q9A6_MOUSE,13,1,1
OAS2_MOUSE,10,4,1
RBL2A_MOUSE,4,2,2
CTSRD_MOUSE,3,0,2
CC146_MOUSE,11,1,7
